time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2025-02-24T05:10:55.093Z,0.9134183333333333,116.74063166666669,130.9,7.8,0.0,0.0,5,gps,,,,,,,,100,
2025-02-24T05:11:56.000Z,0.91338,116.74071833333333,109.80000000000001,2.1,144.55,0.0,12,gps,,,,,,,,100,
2025-02-24T05:12:57.000Z,0.9134216666666667,116.74063499999998,101.1,1.8,296.82,0.0,21,gps,,,,,,,,100,
2025-02-24T05:13:58.000Z,0.9142783333333333,116.74027,92.1,2.1,289.47,2.6044943,19,gps,,,,,,,,100,
2025-02-24T05:14:59.000Z,0.9148116666666667,116.73918666666665,100.0,2.1,314.68,2.3244855,19,gps,,,,,,,,100,
2025-02-24T05:16:00.000Z,0.9148333333333334,116.73864,97.1,1.7,71.0,0.0,18,gps,,,,,,,,100,
2025-02-24T05:17:01.000Z,0.9148333333333334,116.73864,97.1,1.5,71.0,0.0,23,gps,,,,,,,,100,
2025-02-24T05:18:02.000Z,0.914785,116.73837499999999,101.0,1.4,164.4,0.0,25,gps,,,,,,,,100,
2025-02-24T05:19:03.000Z,0.914785,116.73837499999999,101.0,1.5,164.4,0.0,24,gps,,,,,,,,100,
2025-02-24T05:20:04.000Z,0.914785,116.73837499999999,101.0,1.4,164.4,0.0,24,gps,,,,,,,,100,
2025-02-24T05:42:14.442Z,0.9146350000000001,116.73838666666667,104.4,4.5,228.13,0.9198086,18,gps,,,,,,,,99,
9f9fef,,,,,,,,,,,,,,,,,
